mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	pedal	Pedal_<sym>keyboardPedalPed</sym>
12	12	44	44	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	185							16		
12	12	89/2	89/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	186							16		
12	12	45	45	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	187							16		
12	12	91/2	91/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	188							16		
12	12	46	46	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	189							16		
12	12	93/2	93/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	190							16		
12	12	47	47	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	191							16		
12	12	95/2	95/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	192									
13	13	48	48	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	193		articTenutoAbove							
13	13	50	50	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	194		articTenutoBelow							
13	13	48	48	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	195							17		
13	13	97/2	97/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	196							17		
13	13	49	49	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	197							17		
13	13	99/2	99/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	198							17		
13	13	50	50	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	199							17		
13	13	101/2	101/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	200							17		
13	13	51	51	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	201							17		
13	13	103/2	103/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	202									
14	14	52	52	0.0	0	0	StaffText	4/4	1	1	0							"<i>incolore et
toujurs</i>"						
14	14	52	52	0.0	0	0	Dynamic	4/4	1	1	0					p								
14	14	52	52	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	203							18		
14	14	53	53	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	204							18		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	205							18		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	206							18		
14	14	54	54	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	207							18		
14	14	55	55	0.0	3/4	3/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	208							18		
14	14	55	55	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	209							18		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	210							18		
14	14	52	52	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	211							19		
14	14	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	212							19		
14	14	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	213							19		
14	14	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	214							19		
14	14	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	215							19		
14	14	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	216							19		
14	14	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	217							19		
14	14	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	218									
15	15	56	56	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	219							18		
15	15	57	57	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	220							18		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	221							18		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	222							18		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	223							18		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	224							18		
15	15	59	59	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	225							18		
15	15	56	56	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	226							20		
15	15	113/2	113/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	227							20		
15	15	57	57	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	228							20		
15	15	115/2	115/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	229							20		
15	15	58	58	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	230							20		
15	15	117/2	117/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	231							20		
15	15	59	59	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	232							20		
15	15	119/2	119/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	233									
16	16	60	60	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	234							18		
16	16	61	61	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	235							18		
16	16	61	61	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	236							18		
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	237							18		
16	16	62	62	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	238							18		
16	16	63	63	0.0	3/4	3/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	239							18		
16	16	63	63	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	240							18		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	241							18		
16	16	60	60	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	242							21		
16	16	121/2	121/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	243							21		
16	16	61	61	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	244							21		
16	16	123/2	123/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	245							21		
16	16	62	62	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	246							21		
16	16	125/2	125/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	247							21		
16	16	63	63	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	248							21		
16	16	127/2	127/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	249									
17	17	64	64	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	250							18		
17	17	65	65	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	251							18		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	252							18		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	253							18		
17	17	66	66	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	254							18		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	255							18		
17	17	67	67	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	256									
17	17	64	64	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	257							22		
17	17	129/2	129/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	258							22		
17	17	65	65	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	259							22		
17	17	131/2	131/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	260							22		
17	17	66	66	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	261							22		
17	17	133/2	133/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	262							22		
17	17	67	67	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	263							22		
17	17	135/2	135/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	264									
18	18	68	68	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	265		articTenutoAbove							
18	18	70	70	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	266		articTenutoBelow							
18	18	68	68	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	267							23		
18	18	137/2	137/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	268							23		
18	18	69	69	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	269							23		
18	18	139/2	139/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	270							23		
18	18	70	70	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	271							23		
18	18	141/2	141/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	272							23		
18	18	71	71	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	273							23		
18	18	143/2	143/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	274									
19	19	72	72	2.0	0	0	Chord	4/4	1	1	1/2		1/2	1	275		articTenutoAbove							
19	19	74	74	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	276		articTenutoBelow							
19	19	72	72	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	277							24		
19	19	145/2	145/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	278							24		
19	19	73	73	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	279							24		
19	19	147/2	147/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	280							24		
19	19	74	74	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	281							24		
19	19	149/2	149/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	282							24		
19	19	75	75	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	283							24		
19	19	151/2	151/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	284									
20	20	76	76	0.0	0	0	Dynamic	4/4	1	1	0					p								
20	20	76	76	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	285							25		
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	286							25		
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	287							25		
20	20	78	78	1.0	1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	288							25		
20	20	79	79	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	289							25		
20	20	76	76	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	290									
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	291									
20	20	77	77	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	292									
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	293									
20	20	78	78	0.5	1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	294									
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	295									
20	20	79	79	0.5	3/4	3/4	Chord	4/4	1	2	1/8		1/8	1	296									
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	297									
20	20	76	76	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	298							26		
20	20	153/2	153/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	299							26		
20	20	77	77	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	300							26		
20	20	155/2	155/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	301							26		
20	20	78	78	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	302							26		
20	20	157/2	157/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	303							26		
20	20	79	79	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	304							26		
20	20	159/2	159/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	305									
21	21	80	80	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	306							25		
21	21	81	81	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	307							25		
21	21	82	82	2.0	1/2	1/2	Chord	4/4	1	1	1/2		1/2	1	308									
21	21	80	80	0.5	0	0	Chord	4/4	1	2	1/8		1/8	1	309									
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	310									
21	21	81	81	0.5	1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	311									
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	312									
21	21	165/2	165/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	313									
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	314									
21	21	80	80	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	315							27		
21	21	161/2	161/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	316							27		
21	21	81	81	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	317							27		
21	21	163/2	163/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	318							27		
21	21	82	82	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	319							27		
21	21	165/2	165/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	320							27		
21	21	83	83	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	321							27		
21	21	167/2	167/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	322									
22	22	84	84	0.0	0	0	StaffText	4/4	1	1	0							rallentir en pesant sur la main droite						
22	22	84	84	4.0	0	0	Chord	4/4	1	1	1		1	1	323									
22	22	169/2	169/2	0.0	1/8	1/8	Dynamic	4/4	1	2	0					mf								
22	22	169/2	169/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4		1/4	1	324		articTenutoBelow					28		
22	22	171/2	171/2	1.0	3/8	3/8	Chord	4/4	1	2	1/4		1/4	1	325		articTenutoBelow					28		
22	22	173/2	173/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	326		articTenutoBelow					28		
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	327		articStaccatoBelow							
22	22	84	84	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	328							29		
22	22	169/2	169/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	329							29		
22	22	85	85	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	330							29		
22	22	171/2	171/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	331							29		
22	22	86	86	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	332							29		
22	22	173/2	173/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	333							29		
22	22	87	87	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	334							29		
22	22	175/2	175/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	335									
23	23	88	88	4.0	0	0	Chord	4/4	1	1	1		1	1	336									
23	23	177/2	177/2	1.0	1/8	1/8	Chord	4/4	1	2	1/4		1/4	1	337		articTenutoBelow					30		
23	23	179/2	179/2	1.0	3/8	3/8	Chord	4/4	1	2	1/4		1/4	1	338		articTenutoBelow					30		
23	23	181/2	181/2	1.0	5/8	5/8	Chord	4/4	1	2	1/4		1/4	1	339		articTenutoBelow					30		
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8		1/8	1	340		articStaccatoBelow							
23	23	88	88	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	341							31		
23	23	177/2	177/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	342							31		
23	23	89	89	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	343							31		
23	23	179/2	179/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	344							31		
23	23	90	90	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	345							31		
23	23	181/2	181/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	346							31		
23	23	91	91	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	347							31		
23	23	183/2	183/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	348									
24	24	92	92	0.0	0	0	Dynamic	4/4	1	1	0					pp								
24	24	185/2	185/2	0.0	1/8	1/8	Tempo	4/4	1	1	0								Trèslent	71.0	1.0			
24	24	185/2	185/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	349							32		
24	24	93	93	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	350							32		
24	24	187/2	187/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	351							32		
24	24	94	94	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	352							32		
24	24	189/2	189/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	353							32		
24	24	95	95	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	354									
24	24	92	92	0.0	0	0	Spanner	4/4	2	1	0												0	0
24	24	92	92	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	355							33	0	0
24	24	93	93	1.0	1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	356							33	0	0
24	24	94	94	1.0	1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	357							33	0	0
24	24	95	95	0.0	3/4	3/4	Chord	4/4	2	1	0	acciaccatura	1/8	1	358								0	0
24	24	95	95	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	359								0	0
24	24	96	96	0.0	1	1	Spanner	4/4	2	1	0													
