mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Ottava:8va
1	1	0	0	0.0	0	0	Tempo	4/4	1	1	0								Trèsmodéré(𝅘𝅥=92)	92.0	1.0		
1	1	0	0	0.0	0	0	StaffText	4/4	1	1	0							<i>indifférent</i>					
1	1	0	0	0.0	0	0	Dynamic	4/4	1	1	0					p							
1	1	0	0	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	0							0	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	1							0	
1	1	1	1	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	2							0	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	3							0	
1	1	2	2	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	4							0	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	5							0	
1	1	3	3	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	6								
1	1	0	0	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	7							1	
1	1	1/2	1/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	8							1	
1	1	1	1	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	9							1	
1	1	3/2	3/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	10								
1	1	2	2	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	11							2	
1	1	5/2	5/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	12								
1	1	3	3	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	13							3	
1	1	7/2	7/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	14								
2	2	4	4	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	15							4	
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	16							4	
2	2	5	5	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	17							4	
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	18								
2	2	6	6	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	19							5	
2	2	25/4	25/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	20							5	
2	2	13/2	13/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	21							5	
2	2	27/4	27/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	22							5	
2	2	7	7	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	23								
2	2	4	4	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	24							6	
2	2	9/2	9/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	25							6	
2	2	5	5	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	26							6	
2	2	11/2	11/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	27								
2	2	6	6	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	28							7	
2	2	13/2	13/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	29								
2	2	7	7	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	30							8	
2	2	15/2	15/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	31								
3	3	8	8	0.0	0	0	Dynamic	4/4	1	1	0					other-dynamics							
3	3	8	8	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	32							9	
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	33							9	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	34							9	
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	35							9	
3	3	10	10	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	36							9	
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	37							9	
3	3	11	11	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	38		articTenutoBelow						
3	3	23/2	23/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	39								
3	3	8	8	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	40							10	
3	3	17/2	17/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	41							10	
3	3	9	9	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	42							10	
3	3	19/2	19/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	43								
3	3	10	10	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	44							11	
3	3	21/2	21/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	45							11	
3	3	11	11	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	46								
4	4	12	12	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	47							12	
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	48							12	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	49							12	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	50								
4	4	14	14	0.25	1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	51							13	
4	4	57/4	57/4	0.25	9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	52							13	
4	4	29/2	29/2	0.25	5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	53							13	
4	4	59/4	59/4	0.25	11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	54							13	
4	4	15	15	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	55		articTenutoBelow						
4	4	31/2	31/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	56								
4	4	12	12	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	57							14	
4	4	25/2	25/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	58							14	
4	4	13	13	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	59							14	
4	4	27/2	27/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	60								
4	4	14	14	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	61							15	
4	4	29/2	29/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	62							15	
4	4	15	15	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	63								
5	5	16	16	0.0	0	0	Dynamic	4/4	1	1	0					p							
5	5	16	16	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	64								
5	5	16	16	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	65								
5	5	17	17	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	66								
5	5	17	17	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	67								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	68							16	
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	69							16	
5	5	19	19	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	70		articTenutoBelow						
5	5	39/2	39/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	71								
5	5	16	16	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	72							17	
5	5	33/2	33/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	73							17	
5	5	17	17	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	74							17	
5	5	35/2	35/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	75								
5	5	18	18	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	76							18	
5	5	37/2	37/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	77								
5	5	19	19	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	78								
6	6	20	20	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	79		articTenutoBelow					19	
6	6	81/4	81/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	80							19	
6	6	41/2	41/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	81							19	
6	6	83/4	83/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	82							19	
6	6	21	21	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	83							19	
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	84							19	
6	6	22	22	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	85							19	
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	86								
6	6	23	23	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	87		articTenutoBelow						
6	6	47/2	47/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	88								
6	6	20	20	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	89							20	
6	6	41/2	41/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	90							20	
6	6	21	21	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	91							20	
6	6	43/2	43/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	92								
6	6	22	22	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	93							21	
6	6	45/2	45/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	94								
6	6	23	23	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	95								
7	7	24	24	0.0	0	0	StaffText	4/4	1	1	0							<i>très chantè</i>					
7	7	24	24	0.0	0	0	Dynamic	4/4	1	1	0					mf							
7	7	24	24	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	96								
7	7	24	24	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	97								
7	7	25	25	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	98								
7	7	25	25	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	99								
7	7	26	26	0.0	1/2	1/2	Chord	4/4	1	1	0	acciaccatura	1/8	1	100								
7	7	26	26	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	101							22	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	102							22	
7	7	27	27	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	103								
7	7	55/2	55/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	104								
7	7	24	24	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	105							23	
7	7	49/2	49/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	106							23	
7	7	25	25	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	107							23	
7	7	51/2	51/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	108							23	
7	7	26	26	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	109							24	
7	7	53/2	53/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	110							24	
7	7	27	27	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	111								
8	8	28	28	0.25	0	0	Chord	4/4	1	1	1/16		1/16	1	112		articTenutoBelow					25	
8	8	113/4	113/4	0.25	1/16	1/16	Chord	4/4	1	1	1/16		1/16	1	113							25	
8	8	57/2	57/2	0.25	1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	114							25	
8	8	115/4	115/4	0.25	3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	115								
8	8	29	29	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	116							26	
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	117							26	
8	8	30	30	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	118							26	
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	119							26	
8	8	31	31	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	120							26	
8	8	63/2	63/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	121								
8	8	28	28	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	122							27	
8	8	57/2	57/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	123							27	
8	8	29	29	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	124							27	
8	8	59/2	59/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	125							27	
8	8	30	30	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	126							28	
8	8	61/2	61/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	127							28	
8	8	31	31	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	128								
9	9	32	32	0.0	0	0	StaffText	4/4	1	1	0							<i>clair mais</i>					
9	9	32	32	0.0	0	0	Dynamic	4/4	1	1	0					p							
9	9	32	32	0.0	0	0	Chord	4/4	1	1	0	acciaccatura	1/8	1	129								
9	9	32	32	1.0	0	0	Chord	4/4	1	1	1/4		1/4	1	130		articTenutoAbove						
9	9	33	33	0.0	1/4	1/4	Chord	4/4	1	1	0	acciaccatura	1/8	1	131								
9	9	33	33	1.0	1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	132		articTenutoAbove						
9	9	34	34	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	133							29	
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	134							29	
9	9	35	35	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	135							29	
9	9	71/2	71/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	136								
9	9	32	32	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	137							30	
9	9	65/2	65/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	138							30	
9	9	33	33	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	139							30	
9	9	67/2	67/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	140								
9	9	34	34	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	141							31	
9	9	69/2	69/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	142							31	
9	9	35	35	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	143								
10	10	36	36	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	144							32	
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	145								
10	10	37	37	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	146							33	
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	147								
10	10	38	38	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	148							34	
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	149								
10	10	39	39	0.5	3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	150								
10	10	79/2	79/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	151								
10	10	36	36	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	152							35	
10	10	73/2	73/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	153							35	
10	10	37	37	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	154							35	
10	10	75/2	75/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	155								
10	10	38	38	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	156							36	
10	10	77/2	77/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	157							36	
10	10	39	39	1.0	3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	158								
11	11	40	40	0.0	0	0	Dynamic	6/4	1	1	0					pp							
11	11	40	40	0.0	0	0	StaffText	6/4	1	1	0							<i>légèrement timbrè</i>					
11	11	40	40	0.0	0	0	Chord	6/4	1	1	0	acciaccatura	1/8	1	159							37	
11	11	40	40	1.0	0	0	Chord	6/4	1	1	1/4		1/4	1	160							37	
11	11	41	41	0.0	1/4	1/4	Chord	6/4	1	1	0	acciaccatura	1/8	1	161							37	
11	11	41	41	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	162							37	
11	11	42	42	0.0	1/2	1/2	Chord	6/4	1	1	0	acciaccatura	1/8	1	163							37	
11	11	42	42	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	164							37	
11	11	43	43	0.0	3/4	3/4	Chord	6/4	1	1	0	acciaccatura	1/8	1	165							37	
11	11	43	43	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	166							37	
11	11	44	44	0.0	1	1	Chord	6/4	1	1	0	acciaccatura	1/8	1	167							37	
11	11	44	44	1.0	1	1	Chord	6/4	1	1	1/4		1/4	1	168							37	
11	11	45	45	0.0	5/4	5/4	Chord	6/4	1	1	0	acciaccatura	1/8	1	169								
11	11	45	45	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	170								
11	11	40	40	0.0	0	0	StaffText	6/4	2	1	0							<i>2 Pédales</i>					
11	11	40	40	0.5	0	0	Chord	6/4	2	1	1/8		1/8	1	171							38	
11	11	81/2	81/2	0.5	1/8	1/8	Chord	6/4	2	1	1/8		1/8	1	172							38	
11	11	41	41	0.5	1/4	1/4	Chord	6/4	2	1	1/8		1/8	1	173							38	
11	11	83/2	83/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	174							38	
11	11	42	42	0.5	1/2	1/2	Chord	6/4	2	1	1/8		1/8	1	175							38	
11	11	85/2	85/2	0.5	5/8	5/8	Chord	6/4	2	1	1/8		1/8	1	176								
11	11	43	43	0.5	3/4	3/4	Chord	6/4	2	1	1/8		1/8	1	177							39	
11	11	87/2	87/2	0.5	7/8	7/8	Chord	6/4	2	1	1/8		1/8	1	178							39	
11	11	44	44	0.5	1	1	Chord	6/4	2	1	1/8		1/8	1	179							39	
11	11	89/2	89/2	0.5	9/8	9/8	Chord	6/4	2	1	1/8		1/8	1	180							39	
11	11	45	45	0.5	5/4	5/4	Chord	6/4	2	1	1/8		1/8	1	181							39	
11	11	91/2	91/2	0.5	11/8	11/8	Chord	6/4	2	1	1/8		1/8	1	182								
12	12	46	46	0.0	0	0	Chord	6/4	1	1	0	acciaccatura	1/8	1	183							40	
12	12	46	46	1.0	0	0	Chord	6/4	1	1	1/4		1/4	1	184							40	
12	12	47	47	0.0	1/4	1/4	Chord	6/4	1	1	0	acciaccatura	1/8	1	185							40	
12	12	47	47	1.0	1/4	1/4	Chord	6/4	1	1	1/4		1/4	1	186							40	
12	12	48	48	0.0	1/2	1/2	Chord	6/4	1	1	0	acciaccatura	1/8	1	187							40	
12	12	48	48	1.0	1/2	1/2	Chord	6/4	1	1	1/4		1/4	1	188							40	
12	12	49	49	0.0	3/4	3/4	Chord	6/4	1	1	0	acciaccatura	1/8	1	189							40	
12	12	49	49	1.0	3/4	3/4	Chord	6/4	1	1	1/4		1/4	1	190							40	
12	12	50	50	0.0	1	1	Chord	6/4	1	1	0	acciaccatura	1/8	1	191							40	
12	12	50	50	1.0	1	1	Chord	6/4	1	1	1/4		1/4	1	192							40	
12	12	51	51	0.0	5/4	5/4	Chord	6/4	1	1	0	acciaccatura	1/8	1	193								
12	12	51	51	1.0	5/4	5/4	Chord	6/4	1	1	1/4		1/4	1	194								
12	12	46	46	0.5	0	0	Chord	6/4	2	1	1/8		1/8	1	195							41	
12	12	93/2	93/2	0.5	1/8	1/8	Chord	6/4	2	1	1/8		1/8	1	196							41	
12	12	47	47	0.5	1/4	1/4	Chord	6/4	2	1	1/8		1/8	1	197							41	
12	12	95/2	95/2	0.5	3/8	3/8	Chord	6/4	2	1	1/8		1/8	1	198							41	
12	12	48	48	0.5	1/2	1/2	Chord	6/4	2	1	1/8		1/8	1	199							41	
12	12	97/2	97/2	0.5	5/8	5/8	Chord	6/4	2	1	1/8		1/8	1	200								
12	12	49	49	0.5	3/4	3/4	Chord	6/4	2	1	1/8		1/8	1	201							42	
12	12	99/2	99/2	0.5	7/8	7/8	Chord	6/4	2	1	1/8		1/8	1	202							42	
12	12	50	50	0.5	1	1	Chord	6/4	2	1	1/8		1/8	1	203							42	
12	12	101/2	101/2	0.5	9/8	9/8	Chord	6/4	2	1	1/8		1/8	1	204							42	
12	12	51	51	0.5	5/4	5/4	Chord	6/4	2	1	1/8		1/8	1	205							42	
12	12	103/2	103/2	0.5	11/8	11/8	Chord	6/4	2	1	1/8		1/8	1	206								
13	13	52	52	0.5	0	0	Chord	4/4	1	1	1/8		1/8	1	207							43	
13	13	105/2	105/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	208							43	
13	13	53	53	0.5	1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	209							43	
13	13	107/2	107/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	210							43	
13	13	54	54	0.5	1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	211							43	
13	13	109/2	109/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	212							43	
13	13	55	55	1.0	3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	213								
13	13	52	52	0.5	0	0	Chord	4/4	2	1	1/8		1/8	1	214							44	
13	13	105/2	105/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	215							44	
13	13	53	53	0.5	1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	216							44	
13	13	107/2	107/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	217								
13	13	54	54	0.5	1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	218							45	
13	13	109/2	109/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8		1/8	1	219							45	
13	13	55	55	0.5	3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	220							45	
13	13	111/2	111/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	221								
14	14	56	56	0.0	0	0	Dynamic	4/4	1	1	0					ppp							
14	14	56	56	0.125	0	0	Chord	4/4	1	1	1/32		1/32	1	222								
14	14	449/8	449/8	0.125	1/32	1/32	Chord	4/4	1	1	1/32		1/32	1	223								
14	14	451/8	451/8	0.0	3/32	3/32	Spanner	4/4	1	1	0												0
14	14	451/8	451/8	0.125	3/32	3/32	Chord	4/4	1	1	1/32		1/32	1	224								0
14	14	57	57	0.0	1/4	1/4	Spanner	4/4	1	1	0												
14	14	56	56	1.0	0	0	Chord	4/4	2	1	1/4		1/4	1	225		articStaccatoBelow						
14	14	229/4	229/4	0.0	5/16	5/16	Spanner	4/4	2	1	0												1
14	14	459/8	459/8	0.0	11/32	11/32	Spanner	4/4	2	1	0												1, 2
14	14	459/8	459/8	0.125	11/32	11/32	Chord	4/4	2	1	1/32		1/32	1	226								1, 2
14	14	115/2	115/2	0.125	3/8	3/8	Chord	4/4	2	1	1/32		1/32	1	227								1, 2
14	14	461/8	461/8	0.0	13/32	13/32	Spanner	4/4	2	1	0												2
14	14	117/2	117/2	0.0	5/8	5/8	Spanner	4/4	2	1	0												
14	14	57	57	1.0	1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	228		articStaccatoBelow						
