mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	Trill:trill	crescendo_hairpin	decrescendo_hairpin
1	0	0	0	0.0		0	3/4	Tempo	4/4	1	1	0								Alerte	138.0	1.0				
1	0	1/4	1/4	0.0		1/16	13/16	Dynamic	4/4	1	1	0					f									
1	0	1/4	1/4	0.25		1/16	13/16	Chord	4/4	1	1	1/16		1/16	1	0							0			
1	0	1/2	1/2	0.0		1/8	7/8	Tempo	4/4	1	1	0								(𝅘𝅥=138)	138.0	1.0	0			
1	0	1/2	1/2	0.25		1/8	7/8	Chord	4/4	1	1	1/16		1/16	1	1							0			
1	0	3/4	3/4	0.25		3/16	15/16	Chord	4/4	1	1	1/16		1/16	1	2							0			
2	1	1	1	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	3										
2	1	2	2	0.75		1/4	1/4	Chord	4/4	1	1	3/16		1/8	3/2	4										
2	1	11/4	11/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	5							1			
2	1	3	3	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	6							1			
2	1	13/4	13/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	7							1			
2	1	7/2	7/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	8							1			
2	1	15/4	15/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	9							1			
2	1	4	4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	10										
2	1	9/2	9/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	11							2			
2	1	19/4	19/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	12							2			
2	1	3/2	3/2	0.5		1/8	1/8	Chord	4/4	1	2	1/8		1/8	1	13										
2	1	5/2	5/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	14										
2	1	1	1	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	15										
2	1	2	2	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	16										
2	1	3	3	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	17										
2	1	9/2	9/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	18										
2	1	4	4	1.0		3/4	3/4	Chord	4/4	2	2	1/4		1/4	1	19										
3	2	5	5	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	20										
3	2	11/2	11/2	0.25		1/8	1/8	Chord	4/4	1	1	1/16		1/16	1	21							3			
3	2	23/4	23/4	0.25		3/16	3/16	Chord	4/4	1	1	1/16		1/16	1	22							3			
3	2	6	6	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	23										
3	2	13/2	13/2	0.25		3/8	3/8	Chord	4/4	1	1	1/16		1/16	1	24							4			
3	2	27/4	27/4	0.25		7/16	7/16	Chord	4/4	1	1	1/16		1/16	1	25							4			
3	2	7	7	0.25		1/2	1/2	Chord	4/4	1	1	1/16		1/16	1	26							4			
3	2	29/4	29/4	0.25		9/16	9/16	Chord	4/4	1	1	1/16		1/16	1	27							4			
3	2	15/2	15/2	0.25		5/8	5/8	Chord	4/4	1	1	1/16		1/16	1	28							4			
3	2	31/4	31/4	0.25		11/16	11/16	Chord	4/4	1	1	1/16		1/16	1	29							4			
3	2	8	8	0.25		3/4	3/4	Chord	4/4	1	1	1/16		1/16	1	30										
3	2	33/4	33/4	0.25		13/16	13/16	Chord	4/4	1	1	1/16		1/16	1	31							5			
3	2	17/2	17/2	0.25		7/8	7/8	Chord	4/4	1	1	1/16		1/16	1	32							5			
3	2	35/4	35/4	0.25		15/16	15/16	Chord	4/4	1	1	1/16		1/16	1	33							5			
3	2	11/2	11/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	34										
3	2	13/2	13/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	35							6			
3	2	5	5	4.0		0	0	Chord	4/4	2	2	1		1	1	36										
3	2	8	8	1.0		3/4	3/4	Chord	4/4	2	3	1/4		1/4	1	37										
4	3	9	9	1.0		0	0	Chord	7/4	1	1	1/4		1/4	1	38										
4	3	10	10	0.75		1/4	1/4	Chord	7/4	1	1	3/16		1/8	3/2	39										
4	3	43/4	43/4	0.25		7/16	7/16	Chord	7/4	1	1	1/16		1/16	1	40							7			
4	3	11	11	0.25		1/2	1/2	Chord	7/4	1	1	1/16		1/16	1	41							7			
4	3	45/4	45/4	0.25		9/16	9/16	Chord	7/4	1	1	1/16		1/16	1	42							7			
4	3	23/2	23/2	0.25		5/8	5/8	Chord	7/4	1	1	1/16		1/16	1	43							7			
4	3	47/4	47/4	0.25		11/16	11/16	Chord	7/4	1	1	1/16		1/16	1	44							7			
4	3	12	12	0.5		3/4	3/4	Chord	7/4	1	1	1/8		1/8	1	45										
4	3	25/2	25/2	0.25		7/8	7/8	Chord	7/4	1	1	1/16		1/16	1	46							8			
4	3	51/4	51/4	0.25		15/16	15/16	Chord	7/4	1	1	1/16		1/16	1	47							8			
4	3	13	13	0.5		1	1	Chord	7/4	1	1	1/8		1/8	1	48										
4	3	27/2	27/2	0.25		9/8	9/8	Chord	7/4	1	1	1/16		1/16	1	49							9			
4	3	55/4	55/4	0.25		19/16	19/16	Chord	7/4	1	1	1/16		1/16	1	50							9			
4	3	14	14	0.5		5/4	5/4	Chord	7/4	1	1	1/8		1/8	1	51										
4	3	29/2	29/2	0.25		11/8	11/8	Chord	7/4	1	1	1/16		1/16	1	52							10			
4	3	59/4	59/4	0.25		23/16	23/16	Chord	7/4	1	1	1/16		1/16	1	53							10			
4	3	15	15	0.25		3/2	3/2	Chord	7/4	1	1	1/16		1/16	1	54							10			
4	3	61/4	61/4	0.25		25/16	25/16	Chord	7/4	1	1	1/16		1/16	1	55							10			
4	3	31/2	31/2	0.25		13/8	13/8	Chord	7/4	1	1	1/16		1/16	1	56							10			
4	3	63/4	63/4	0.25		27/16	27/16	Chord	7/4	1	1	1/16		1/16	1	57							10			
4	3	19/2	19/2	0.5		1/8	1/8	Chord	7/4	1	2	1/8		1/8	1	58										
4	3	21/2	21/2	0.5		3/8	3/8	Chord	7/4	1	2	1/8		1/8	1	59										
4	3	9	9	1.0		0	0	Chord	7/4	2	1	1/4		1/4	1	60										
4	3	10	10	1.0		1/4	1/4	Chord	7/4	2	1	1/4		1/4	1	61										
4	3	11	11	1.0		1/2	1/2	Chord	7/4	2	1	1/4		1/4	1	62										
4	3	25/2	25/2	0.5		7/8	7/8	Chord	7/4	2	1	1/8		1/8	1	63										
4	3	27/2	27/2	0.5		9/8	9/8	Chord	7/4	2	1	1/8		1/8	1	64										
4	3	29/2	29/2	0.5		11/8	11/8	Chord	7/4	2	1	1/8		1/8	1	65							11			
4	3	12	12	4.0		3/4	3/4	Chord	7/4	2	2	1		1	1	66							12			
5	4	16	16	0.0		0	0	Dynamic	4/4	1	1	0					ff									
5	4	16	16	0.0		0	0	StaffText	4/4	1	1	0							<i>sans duretè-très liè</i>							
5	4	16	16	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	67							13			
5	4	17	17	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	68							13			
5	4	18	18	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	69							13			
5	4	19	19	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	70							13			
5	4	39/2	39/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	71										
5	4	37/2	37/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	72										
5	4	33/2	33/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	73										
5	4	35/2	35/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	74										
5	4	18	18	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	75										
5	4	19	19	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	76										
5	4	39/2	39/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	77										
5	4	16	16	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	78										
5	4	17	17	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	79										
5	4	18	18	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	80										
5	4	17	17	1.0		1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	81										
6	5	20	20	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	82							14			
6	5	21	21	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	83							14			
6	5	22	22	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	84							14			
6	5	23	23	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	85							14			
6	5	47/2	47/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	86										
6	5	45/2	45/2	0.5		5/8	5/8	Chord	4/4	1	2	1/8		1/8	1	87										
6	5	41/2	41/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	88										
6	5	43/2	43/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	89										
6	5	22	22	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	90										
6	5	23	23	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	91										
6	5	47/2	47/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	92										
6	5	20	20	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	93										
6	5	21	21	1.0		1/4	1/4	Chord	4/4	2	2	1/4		1/4	1	94										
6	5	22	22	2.0		1/2	1/2	Chord	4/4	2	2	1/2		1/2	1	95										
6	5	20	20	1.0		0	0	Chord	4/4	2	3	1/4		1/4	1	96										
6	5	21	21	1.0		1/4	1/4	Chord	4/4	2	3	1/4		1/4	1	97										
7	6	24	24	0.0		0	0	StaffText	4/4	1	1	0							<i>en s`apaisant un peu</i>							
7	6	26	26	0.0		1/2	1/2	Spanner	4/4	1	1	0														0
7	6	53/2	53/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	98							15			0
7	6	27	27	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	99							15			0
7	6	55/2	55/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	100										0
7	6	24	24	0.0		0	0	Dynamic	4/4	2	1	0					f									
7	6	49/2	49/2	0.5		1/8	1/8	Chord	4/4	2	1	1/8		1/8	1	101							16			
7	6	25	25	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	102							16			
7	6	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	103										
7	6	26	26	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	104										
7	6	27	27	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	105							17			
7	6	55/2	55/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	106							17			
7	6	24	24	1.0		0	0	Chord	4/4	2	2	1/4		1/4	1	107							18			
7	6	25	25	0.5		1/4	1/4	Chord	4/4	2	2	1/8		1/8	1	108							18			
7	6	51/2	51/2	0.5		3/8	3/8	Chord	4/4	2	2	1/8		1/8	1	109							18			
8	7	57/2	57/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	110							19			0
8	7	29	29	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	111							19			0
8	7	59/2	59/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	112										0
8	7	61/2	61/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	113							20			0
8	7	31	31	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	114							20			0
8	7	63/2	63/2	0.0		7/8	7/8	Dynamic	4/4	1	1	0					p									
8	7	63/2	63/2	0.0		7/8	7/8	Spanner	4/4	1	1	0														
8	7	63/2	63/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	115										
8	7	28	28	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	116										
8	7	29	29	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	117							21			
8	7	59/2	59/2	0.5		3/8	3/8	Chord	4/4	2	1	1/8		1/8	1	118							21			
8	7	30	30	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	119										
8	7	31	31	0.5		3/4	3/4	Chord	4/4	2	1	1/8		1/8	1	120							22			
8	7	63/2	63/2	0.5		7/8	7/8	Chord	4/4	2	1	1/8		1/8	1	121										
9	8	32	32	0.0		0	0	Tempo	3/8	1	1	0								𝅘𝅥𝅮=𝅘𝅥𝅮	138.0	1.0				
9	8	32	32	0.0		0	0	StaffText	3/8	1	1	0							"<font size=""12""/><b> précédente</b>"							
9	8	32	32	0.0		0	0	StaffText	3/8	1	1	0							"<i><font size=""9""/>le chant en dehors</i>"							
9	8	32	32	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	122		articTenutoAbove								
9	8	33	33	0.0		1/4	1/4	Dynamic	3/8	1	1	0					mf									
9	8	32	32	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	123										
9	8	65/2	65/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	124										
9	8	33	33	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	125										
9	8	32	32	1.5		0	0	Chord	3/8	2	1	3/8		1/4	3/2	126										
10	9	67/2	67/2	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	127										
10	9	67/2	67/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	128										
10	9	34	34	0.25		1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	129										
10	9	137/4	137/4	0.25		3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	130										
10	9	69/2	69/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	131										
11	10	35	35	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	132		articTenutoAbove								
11	10	35	35	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	133										
11	10	71/2	71/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	134										
11	10	36	36	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	135										
11	10	35	35	1.5		0	0	Chord	3/8	2	1	3/8		1/4	3/2	136										
12	11	73/2	73/2	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	137										
12	11	73/2	73/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	138										
12	11	37	37	0.25		1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	139										
12	11	149/4	149/4	0.25		3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	140										
12	11	75/2	75/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	141										
13	12	38	38	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	142							23			
13	12	77/2	77/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	143							23			
13	12	39	39	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	144										
13	12	77/2	77/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	145							24			
13	12	39	39	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	146										
14	13	79/2	79/2	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	147							25			
14	13	40	40	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	148							25			
14	13	81/2	81/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	149										
14	13	79/2	79/2	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	150										
14	13	40	40	0.75		1/8	1/8	Chord	3/8	2	1	3/16		1/8	3/2	151										
15	14	41	41	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	152							26			
15	14	83/2	83/2	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	153							26			
15	14	42	42	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	154										
15	14	83/2	83/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	155							27			
15	14	42	42	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	156							27			
16	15	85/2	85/2	0.0		0	0	Chord	3/8	1	1	0	grace16	1/32	1	157										
16	15	85/2	85/2	0.0		0	0	Chord	3/8	1	1	0	grace16	1/32	1	158										
16	15	85/2	85/2	0.5		0	0	Chord	3/8	1	1	1/8		1/8	1	159							28			
16	15	43	43	0.5		1/8	1/8	Chord	3/8	1	1	1/8		1/8	1	160							28			
16	15	87/2	87/2	0.5		1/4	1/4	Chord	3/8	1	1	1/8		1/8	1	161										
16	15	85/2	85/2	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	162							27			
16	15	43	43	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	163							27			
16	15	87/2	87/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	164										
17	16	44	44	0.0		0	0	Dynamic	3/8	1	1	0					f									
17	16	44	44	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	165		articTenutoAbove								
17	16	44	44	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	166										
17	16	89/2	89/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	167										
17	16	45	45	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	168										
17	16	44	44	1.5		0	0	Chord	3/8	2	1	3/8		1/4	3/2	169										
18	17	91/2	91/2	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	170										
18	17	91/2	91/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	171										
18	17	46	46	0.25		1/8	1/8	Chord	3/8	1	2	1/16		1/16	1	172										
18	17	185/4	185/4	0.25		3/16	3/16	Chord	3/8	1	2	1/16		1/16	1	173										
18	17	93/2	93/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	174										
19	18	47	47	0.0		0	0	Dynamic	3/8	1	1	0					mf									
19	18	47	47	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	175		articTenutoAbove								
19	18	47	47	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	176										
19	18	95/2	95/2	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	177										
19	18	48	48	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	178										
19	18	47	47	1.5		0	0	Chord	3/8	2	1	3/8		1/4	3/2	179										
20	19	97/2	97/2	1.5		0	0	Chord	3/8	1	1	3/8		1/4	3/2	180										
20	19	97/2	97/2	0.5		0	0	Chord	3/8	1	2	1/8		1/8	1	181										
20	19	49	49	0.5		1/8	1/8	Chord	3/8	1	2	1/8		1/8	1	182										
20	19	99/2	99/2	0.5		1/4	1/4	Chord	3/8	1	2	1/8		1/8	1	183										
21	20	50	50	0.25		0	0	Chord	3/8	1	1	1/16		1/16	1	184							29			
21	20	201/4	201/4	0.0		1/16	1/16	Dynamic	3/8	1	1	0					p						29			
21	20	201/4	201/4	0.0		1/16	1/16	StaffText	3/8	1	1	0							<i>uniforme</i>				29			
21	20	201/4	201/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	185							29			
21	20	101/2	101/2	0.25		1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	186							29			
21	20	203/4	203/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	187							29			
21	20	51	51	0.25		1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	188							29			
21	20	205/4	205/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	189										
21	20	50	50	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	190							30			
21	20	101/2	101/2	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	191							30			
21	20	51	51	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	192										
22	21	103/2	103/2	0.25		0	0	Chord	3/8	1	1	1/16		1/16	1	193							31			
22	21	207/4	207/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	194							31			
22	21	52	52	0.25		1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	195							31			
22	21	209/4	209/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	196							31			
22	21	105/2	105/2	0.25		1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	197							31			
22	21	211/4	211/4	0.25		5/16	5/16	Chord	3/8	1	1	1/16		1/16	1	198										
22	21	103/2	103/2	0.5		0	0	Chord	3/8	2	1	1/8		1/8	1	199							32			
22	21	52	52	0.5		1/8	1/8	Chord	3/8	2	1	1/8		1/8	1	200							32			
22	21	105/2	105/2	0.5		1/4	1/4	Chord	3/8	2	1	1/8		1/8	1	201										
23	22	53	53	0.25		0	0	Chord	3/8	1	1	1/16		1/16	1	202							33			
23	22	213/4	213/4	0.25		1/16	1/16	Chord	3/8	1	1	1/16		1/16	1	203							33			
23	22	107/2	107/2	0.25		1/8	1/8	Chord	3/8	1	1	1/16		1/16	1	204							33			
23	22	215/4	215/4	0.25		3/16	3/16	Chord	3/8	1	1	1/16		1/16	1	205							33			
23	22	54	54	0.25		1/4	1/4	Chord	3/8	1	1	1/16		1/16	1	206							33			
