mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	1.0	0	0	4/4	2	1	d.i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
1	1	1	1.0	1/4	1/4	4/4	2	1	i2	III64	d	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
1	1	2	1.0	1/2	1/2	4/4	2	1	iv(96)		d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
1	1	3	1.0	3/4	3/4	4/4	2	1	i43		d	i		i43	i		43					mm7	1	1	1, -2, 0, -3		0	1
2	2	4	1.0	0	0	4/4	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
2	2	5	1.0	1/4	1/4	4/4	2	1	i2	III64	d	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
2	2	6	1.0	1/2	1/2	4/4	2	1	iv(96)		d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
2	2	7	1.0	3/4	3/4	4/4	2	1	i43		d	i		i43	i		43					mm7	1	1	1, -2, 0, -3		0	1
3	3	8	1.0	0	0	4/4	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	9	1.0	1/4	1/4	4/4	2	1	i2	III64	d	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
3	3	10	1.0	1/2	1/2	4/4	2	1	iv(96)	v2	d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
3	3	11	1.0	3/4	3/4	4/4	2	1	i64(13)	III6(11)	d	i		i64(13)	i		64	13				m	1	1	1, 0, -3	-4	0	1
4	4	12	1.0	0	0	4/4	2	1	i		d	i		i	i							m	1	1	0, -3, 1		0	0
4	4	13	1.0	1/4	1/4	4/4	2	1	i2	III64	d	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
4	4	14	1.0	1/2	1/2	4/4	2	1	iv(96)	v2	d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
4	4	15	1.0	3/4	3/4	4/4	2	1	i64(13)	III6(11)}	d	i		i64(13)	i		64	13				m	1	1	1, 0, -3	-4	0	1
5	5	16	1.0	0	0	4/4	2	1	i(9)	ii%43{	d	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
5	5	17	1.0	1/4	1/4	4/4	2	1	V7/iv		d	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
5	5	18	1.0	1/2	1/2	4/4	2	1	iv(96)	v2	d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
5	5	19	1.0	3/4	3/4	4/4	2	1	i64(13)	III6(11)	d	i		i64(13)	i		64	13				m	1	1	1, 0, -3	-4	0	1
6	6	20	1.0	0	0	4/4	2	1	i(9)	ii%43	d	i		i(9)	i			9				m	1	1	0, -3, 1	2	0	0
6	6	21	1.0	1/4	1/4	4/4	2	1	V7/iv		d	i		V7/iv	V		7		iv			Mm7	1	1	0, 4, 1, -2		0	0
6	6	22	1.0	1/2	1/2	4/4	2	1	iv(96)	v2	d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
6	6	23	1.0	3/4	3/4	4/4	2	1	i64(13)	III6(11)	d	i		i64(13)	i		64	13				m	1	1	1, 0, -3	-4	0	1
7	7	24	1.0	0	0	4/4	2	1	i(9b6)	ii%2	d	i		i(9b6)	i			9b6				m	1	1	0, -3, -11	2	0	0
7	7	25	1.0	1/4	1/4	4/4	2	1	ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
7	7	26	1.0	1/2	1/2	4/4	2	1	V(96)/III		d	i		V(96)/III	V			96	III			M	1	1	-2, 2, 1	0	-2	-2
7	7	27	1.0	3/4	3/4	4/4	2	1	i(6)	VI6	d	i		i(6)	i			6				m	1	1	0, -3, -4		0	0
8	8	28	1.0	0	0	4/4	2	1	i(9b6)	ii%2	d	i		i(9b6)	i			9b6				m	1	1	0, -3, -11	2	0	0
8	8	29	1.0	1/4	1/4	4/4	2	1	ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
8	8	30	1.0	1/2	1/2	4/4	2	1	V(96)/III		d	i		V(96)/III	V			96	III			M	1	1	-2, 2, 1	0	-2	-2
8	8	31	1.0	3/4	3/4	4/4	2	1	i(6)	VI6}	d	i		i(6)	i			6				m	1	1	0, -3, -4		0	0
9	9	32	1.0	0	0	4/4	2	1	i(9b6)	ii%2{	d	i		i(9b6)	i			9b6				m	1	1	0, -3, -11	2	0	0
9	9	33	1.0	1/4	1/4	4/4	2	1	ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
9	9	34	1.0	1/2	1/2	4/4	2	1	V(9)/III		d	i		V(9)/III	V			9	III			M	1	1	-2, 2, -1	0	-2	-2
9	9	35	1.0	3/4	3/4	4/4	2	1	i(96)	VI6(11)	d	i		i(96)	i			96				m	1	1	0, -3, -4	2	0	0
10	10	36	1.0	0	0	4/4	2	1	i(9b6)	ii%2	d	i		i(9b6)	i			9b6				m	1	1	0, -3, -11	2	0	0
10	10	37	1.0	1/4	1/4	4/4	2	1	ii%65		d	i		ii%65	ii	%	65					%7	1	1	-1, -4, 0, 2		2	-1
10	10	38	1.0	1/2	1/2	4/4	2	1	V(9)/III		d	i		V(9)/III	V			9	III			M	1	1	-2, 2, -1	0	-2	-2
10	10	39	1.0	3/4	3/4	4/4	2	1	i(96)	VI6(11)	d	i		i(96)	i			96				m	1	1	0, -3, -4	2	0	0
11	11	40	1.0	0	0	6/4	2	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
11	11	41	1.0	1/4	1/4	6/4	2	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
11	11	42	1.0	1/2	1/2	6/4	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
11	11	43	1.0	3/4	3/4	6/4	2	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
11	11	44	1.0	1	1	6/4	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
11	11	45	1.0	5/4	5/4	6/4	2	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
12	12	46	1.0	0	0	6/4	2	1	iio6		d	i		iio6	ii	o	6					o	1	1	-1, -4, 2		2	-1
12	12	47	1.0	1/4	1/4	6/4	2	1	v		d	i		v	v							m	1	1	1, -2, 2		1	1
12	12	48	1.0	1/2	1/2	6/4	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
12	12	49	1.0	3/4	3/4	6/4	2	1	v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
12	12	50	1.0	1	1	6/4	2	1	ii%43		d	i		ii%43	ii	%	43					%7	1	1	-4, 0, 2, -1		2	-4
12	12	51	1.0	5/4	5/4	6/4	2	1	v}		d	i		v	v						}	m	1	1	1, -2, 2		1	1
13	13	52	1.0	0	0	4/4	2	1	i{		d	i		i	i						{	m	1	1	0, -3, 1		0	0
13	13	53	1.0	1/4	1/4	4/4	2	1	i2	III64	d	i		i2	i		2					mm7	1	1	-2, 0, -3, 1		0	-2
13	13	54	1.0	1/2	1/2	4/4	2	1	iv(96)		d	i		iv(96)	iv			96				m	1	1	-1, -4, 2	1	-1	-1
13	13	55	1.0	3/4	3/4	4/4	2	1	i43		d	i		i43	i		43					mm7	1	1	1, -2, 0, -3		0	1
14	14	56	1.0	0	0	4/4	2	1	iv		d	i		iv	iv							m	1	1	-1, -4, 0		-1	-1
14	14	57	2.375	1/4	1/4	4/4	2	2	V7(9b6)/III}	bV6(119)}	d	i		V7(9b6)/III	V		7	9b6	III		}	Mm7	1	1	-2, 2, -6, -4	0	-2	-2
